frame,point,boot_se,ci_lo,ci_hi,sig_gt0
NP V that S,0.058170,0.006061,0.043242,0.066281,True
NP V that S[+future],0.053652,0.006242,0.041254,0.067579,True
NP V to NP that S[+future],0.049645,0.005238,0.038045,0.059454,True
NP V to NP whether S[+future],0.049428,0.005740,0.036750,0.058638,True
NP be V about whether S,0.047580,0.006187,0.036911,0.061298,True
NP V whichNP S,0.047334,0.005328,0.029964,0.050482,True
NP be V that S[+future],0.047205,0.006329,0.035878,0.059951,True
NP V whether to VP,0.046635,0.005868,0.027468,0.051346,True
NP V to NP that S,0.045876,0.005146,0.035986,0.054854,True
NP V S,0.045722,0.006026,0.035561,0.060187,True
NP V whether S[+future],0.044737,0.006306,0.036569,0.061780,True
NP V whichNP to VP,0.044377,0.006011,0.029922,0.051108,True
NP be V about NP,0.044160,0.005474,0.032287,0.053373,True
NP V to NP whether S,0.043712,0.005294,0.033398,0.052953,True
NP be V whether S[+future],0.040758,0.005984,0.027498,0.049977,True
NP be V S,0.040494,0.006169,0.024561,0.048638,True
NP V whether S,0.040293,0.006289,0.032881,0.054716,True
NP be V that S,0.037409,0.005607,0.031469,0.053712,True
NP V NP to NP,0.036112,0.005621,0.024517,0.045269,True
NP be V whether S,0.035297,0.005595,0.027384,0.047829,True
NP V about whether S,0.033409,0.005240,0.025394,0.045051,True
NP be V that S[-tense],0.033035,0.005486,0.025065,0.043690,True
NP be V,0.032437,0.004559,0.024096,0.041615,True
NP V to NP that S[-tense],0.032185,0.004838,0.022764,0.042637,True
NP V that S[-tense],0.028269,0.005357,0.018483,0.039475,True
NP be V whether to VP,0.027149,0.004619,0.019330,0.036655,True
NP be V to VP[+eventive],0.026666,0.004696,0.018771,0.036036,True
NP V,0.024242,0.005506,0.010210,0.033266,True
NP be V whichNP to VP,0.022943,0.004477,0.010922,0.030024,True
NP V so,0.021684,0.004890,0.013281,0.032594,True
NP V about NP,0.021493,0.004466,0.015670,0.033550,True
NP V for NP to VP,0.021333,0.005023,0.010922,0.031289,True
NP V to VP[-eventive],0.019566,0.004673,0.011139,0.028792,True
NP V NP that S[+future],0.018967,0.004311,0.012568,0.029368,True
NP be V to VP[-eventive],0.018174,0.003673,0.010285,0.024408,True
NP V VPing,0.018038,0.005398,0.015153,0.035873,True
NP V NP whether S,0.017956,0.004549,0.011888,0.028818,True
NP V to VP[+eventive],0.017318,0.004124,0.007986,0.024759,True
NP be V whichNP S,0.017048,0.004388,0.010907,0.027477,True
NP V NP to VP[-eventive],0.016431,0.002928,0.008677,0.019539,True
NP V NP to VP[+eventive],0.016285,0.003055,0.008586,0.020168,True
NP V NP VPing,0.015716,0.002754,0.006395,0.016565,True
NP be V so,0.015225,0.003762,0.011231,0.026397,True
NP V NP that S,0.015010,0.004324,0.011163,0.028102,True
NP V NP whether S[+future],0.014963,0.004184,0.010895,0.027850,True
NP V NP,0.011867,0.003612,0.007339,0.022020,True
NP V NP whichNP S,0.011777,0.004213,0.006162,0.022721,True
NP V NP that S[-tense],0.010722,0.003515,0.004208,0.018225,True
NP V NP VP,0.009546,0.002541,0.005143,0.014484,True
